X,Y,OBJECTID,AREA,PERIMETER,PHTW911_,PHTW911_ID,XLO,YLO,SNO,YEAR,LNO,FE,MN,CU,ZN,CD,CR,NI,PB,CUAR,CUAR_OVER,ZNAR,ZNAR_OVER,CDAR,CDAR_OVER,CRAR,CRAR_OVER,NIAR,NIAR_OVER,PBAR,PBAR_OVER,OVER,RESTRICTED
121.7654254119,24.6878652458,12397,62500,1000,3713,97613,326625,2731625,GR89LM21371,2000,LM2137,112.37,289.37,16.34,336.03,1.2,1.65,6.12,39.33,43.9754,0,925.0424,1,1.7817,0,60.5458,0,45.9568,0,116.9794,0,1,1
121.6393463939,24.6704002647,12786,62500,1000,4114,69865,313875,2729625,GR85KM362A1,1996,KM362A,469.79,62.81,9.93,11.81,0.5,0.35,2.14,254.55,30.8759,0,119.0963,0,0.7612,0,37.9882,0,25.5406,0,724.0505,1,1,1
120.8269043158,24.4820506747,13636,62500,1000,4998,83546,231625,2708625,GR89HL03841,2000,HL0384,1155.38,34.69,17.11,255.21,0.8,0.26,1.53,214.56,45.549,0,724.14,1,1.1985,0,36.4265,0,22.4114,0,611.2507,1,1,1
121.2598614381,25.1139411366,45858,62500,1000,304,67461,275375,2778625,GR92JO51171,2003,JO5117,724.97,19.44,93.98,195.45,0.18,0.79,3.14,10.63,202.6405,1,575.5886,0,0.2947,0,45.6231,0,30.6703,0,36.0253,0,1,1
121.2623163028,25.1026514502,45880,62500,1000,326,67464,275625,2777375,GR92JO51221,2003,JO5122,686.07,23.14,307.57,58.85,0.15,2.63,8.36,10.65,639.1331,1,236.0283,0,0.251,0,77.5508,0,57.4473,0,36.0818,0,1,1
121.18048179,25.0802016904,45928,62500,1000,374,65447,267375,2774875,GR92IO67931,2003,IO6793,380.83,41.77,161.96,10.78,0.11,0.32,0.92,6.54,341.5645,1,116.5359,0,0.1927,0,37.4676,0,19.2823,0,24.4887,0,1,1
121.264746653,25.080076494,45929,62500,1000,375,67550,275875,2774875,GR92JO61331,2003,JO6133,487.05,33.96,446.56,489.77,0.26,2.9,4.46,7.03,923.173,1,1307.2093,1,0.4113,0,82.2358,0,37.4415,0,25.8708,0,1,1
121.2845748358,25.0800395903,45930,62500,1000,376,67586,277875,2774875,GR92JO62131,2003,JO6213,607.47,21.87,173.13,45.74,0.12,0.55,4.86,10.14,364.3915,1,203.4395,0,0.2072,0,41.4586,0,39.4933,0,34.6432,0,1,1
121.2647418421,25.0778194365,45937,62500,1000,383,67547,275875,2774625,GR92JO61321,2003,JO6132,457.23,21.34,83.25,306.4,0.18,0.98,5.26,3.8,180.7127,0,851.3881,1,0.2947,0,48.92,0,41.5452,0,16.76,0,1,1
121.26722034,25.077814947,45938,62500,1000,384,67559,276125,2774625,GR92JO61421,2003,JO6142,684.93,9.89,89.85,358.65,0.09,0.59,5.83,7.33,194.2005,0,981.2712,1,0.1635,0,42.1527,0,44.4692,0,26.717,0,1,1
121.2870481248,25.0777777808,45940,62500,1000,386,67591,278125,2774625,GR92JO62221,2003,JO6222,1613.09,35.03,1719.04,273.54,0.38,5.79,16.18,152.39,3523.6131,1,769.7047,1,0.5863,0,132.3831,0,97.5615,0,435.8878,0,1,1
121.2944834236,25.0777632859,45941,62500,1000,387,67606,278875,2774625,GR92JO62521,2003,JO6252,1588.8,17.85,2631.43,406.18,0.35,4.6,12.72,68.73,5388.1733,1,1099.4212,1,0.5425,0,111.7342,0,79.8128,0,199.908,0,1,1
121.2771292535,25.0755395875,45955,62500,1000,401,67570,277125,2774375,GR92JO61811,2003,JO6181,842.12,52.55,160.77,38.05,0.12,2.07,3.82,17.24,339.1326,1,184.3237,0,0.2072,0,67.8336,0,34.1585,0,54.6702,0,1,1
121.2796076752,25.0755349332,45956,62500,1000,402,67575,277375,2774375,GR92JO61911,2003,JO6191,1202.02,18.38,1821.13,304.31,0.19,3.89,19.34,29.44,3732.2443,1,846.1928,1,0.3093,0,99.4143,0,113.7714,0,89.0827,0,1,1
121.2597753834,25.0733141977,45962,62500,1000,408,67544,275375,2774125,GR92JO61101,2003,JO6110,610.35,43.42,223.05,56.66,0.29,0.48,2.67,8.79,466.408,1,230.5844,0,0.4551,0,40.244,0,28.2593,0,30.8353,0,1,1
121.2647274262,25.0710482507,45971,62500,1000,418,67775,275875,2773875,GR92JO713A1,2003,JO713A,797.55,7.91,3619.42,60.61,0.24,1.68,13.05,13.05,7407.2297,1,240.4033,0,0.3822,0,61.0664,0,81.5056,0,42.8514,0,1,1
121.2672057908,25.0710437645,45972,62500,1000,419,67783,276125,2773875,GR92JO714A1,2003,JO714A,267.77,5.83,235.41,35.1,0.12,0.38,11.2,6.94,491.6669,1,176.9906,0,0.2072,0,38.5088,0,72.0156,0,25.617,0,1,1
121.2721625019,25.0710346962,45974,62500,1000,421,67800,276625,2773875,GR92JO716A1,2003,JO716A,154.99,4.85,184.26,51.04,0.14,0.7,9.03,19.04,387.1367,1,216.6142,0,0.2364,0,44.0614,0,60.8842,0,59.7474,0,1,1
121.2746408562,25.0710301,45975,62500,1000,422,67815,276875,2773875,GR92JO717A1,2003,JO717A,525.05,14.15,760.74,126.3,0.12,2.72,17.56,24.03,1565.2313,1,403.6955,0,0.2072,0,79.1124,0,104.6405,0,73.8227,0,1,1
121.2771191997,25.0710254767,45976,62500,1000,423,67821,277125,2773875,GR92JO718A1,2003,JO718A,260.18,18.74,198.39,233.97,0.43,0.39,3.68,24.65,416.0128,1,671.3416,1,0.6592,0,38.6823,0,33.4403,0,75.5716,0,1,1
121.2795975329,25.0710208259,45977,62500,1000,424,67836,277375,2773875,GR92JO719A1,2003,JO719A,343.11,7.97,410,281.55,0.29,0.39,4.13,25.3,848.459,1,789.616,1,0.4551,0,38.6823,0,35.7487,0,77.405,0,1,1
